,year,month,day,Date,DateTime,hora_inicio,cantidad_pasos,sentido_prov,vehiculo_liv,weekday,season,hour,holiday,non_working,time_of_day
122,2017,1,6,2017-01-06,2017-01-06 02:00:00,2,348.0,0.42857142857142855,0.2857142857142857,Friday,Summer,2,0,working,night
123,2017,1,6,2017-01-06,2017-01-06 03:00:00,3,336.0,0.4166666666666667,0.3333333333333333,Friday,Summer,3,0,working,night
124,2017,1,6,2017-01-06,2017-01-06 04:00:00,4,402.0,0.4,0.4,Friday,Summer,4,0,working,night
125,2017,1,6,2017-01-06,2017-01-06 05:00:00,5,973.0,0.45454545454545453,0.36363636363636365,Friday,Summer,5,0,working,night
126,2017,1,6,2017-01-06,2017-01-06 06:00:00,6,1923.0,0.3333333333333333,0.26666666666666666,Friday,Summer,6,0,working,night
127,2017,1,6,2017-01-06,2017-01-06 07:00:00,7,3194.0,0.42857142857142855,0.2857142857142857,Friday,Summer,7,0,working,morning
128,2017,1,6,2017-01-06,2017-01-06 08:00:00,8,3215.0,0.3333333333333333,0.3333333333333333,Friday,Summer,8,0,working,morning
129,2017,1,6,2017-01-06,2017-01-06 09:00:00,9,3450.0,0.46153846153846156,0.3076923076923077,Friday,Summer,9,0,working,morning
130,2017,1,6,2017-01-06,2017-01-06 10:00:00,10,3491.0,0.38461538461538464,0.3076923076923077,Friday,Summer,10,0,working,morning
131,2017,1,6,2017-01-06,2017-01-06 11:00:00,11,3445.0,0.35714285714285715,0.2857142857142857,Friday,Summer,11,0,working,morning
132,2017,1,6,2017-01-06,2017-01-06 12:00:00,12,3576.0,0.375,0.25,Friday,Summer,12,0,working,morning
133,2017,1,6,2017-01-06,2017-01-06 13:00:00,13,3583.0,0.4375,0.25,Friday,Summer,13,0,working,afternoon
134,2017,1,6,2017-01-06,2017-01-06 14:00:00,14,3549.0,0.4666666666666667,0.26666666666666666,Friday,Summer,14,0,working,afternoon
